grdc_no,lat,long,area,altitude,
1196213,-23.2810156,30.54309374,2988,-999,
1196215,-23.65837248,31.04990442,4710,-999,
1196220,-23.83532041,31.63744893,12938,-999,
1196300,-24.1594,27.479167,1054,952,
1196310,-22.907778,30.528056,104,542,
1196320,-22.770833,30.538889,326,580,
1196330,-23.112222,30.389444,918,578,
1196340,-22.76851351,30.88925779,1758,-999,
1196350,-25.776944,27.761111,1171,1179,
1196360,-24.282778,28.089722,1801,1142,
1196370,-24.216389,27.973056,499,1044,
1196380,-23.763611,27.908056,399,867,
1196390,-22.43773394,31.07783326,1776,-999,
1196400,-22.950762,27.973589,98160,770,
1196405,-22.93476395,28.00392156,98240,-999,
1196410,-25.991389,27.841944,149,1357,
1196413,-25.81056,27.90983,2551,-999,
1196415,-25.809167,27.475833,88,1276,
1196420,-25.72,27.185556,4,1480,
1196423,-25.73486,27.21425,-999,-999,
1196425,-25.637222,27.026944,517,1119,
1196430,-25.538056,26.103556,1165,1171,
1196435,-25.814222,26.049139,138,1460,
1196440,-25.20631,27.55794,12674,-999,
1196441,-25.66361,28.35131,357,-999,
1196443,-25.38022,28.3165,1028,-999,
1196445,-25.47086,28.26378,625,-999,
1196447,-25.12856,27.62858,7483,-999,
1196450,-24.69508,27.409,22270,-999,
1196455,-24.39619,27.08983,28780,-999,
1196500,-23.067423,29.578913,6731,831,
1196540,-22.91019232,29.61103918,7712,-999,
1196550,-22.224444,29.986944,201000,423,
1196551,-22.226111,29.990278,201001,428,
1196560,-24.578611,28.639444,70,1153,
1196561,-24.665278,28.475,120,1174,
1196562,-24.771389,28.348056,12,1203,
1196563,-24.663056,28.454722,17,1200,
1196564,-24.671389,28.560278,43,1138,
1196565,-24.633333,28.596389,16,1176,
1196566,-24.602039,28.607493,2,1196,
1196569,-22.55021523,28.89740445,15845,-999,
1196570,-23.981667,28.399444,638,1163,
1196600,-26.006389,29.253889,3256,1517,
1196700,-24.68,30.801944,514,832,
1196710,-24.51752,30.83174,2204,-999,
1196720,-24.03642,31.12821,2268,-999,
1196800,-24.18473,30.82299,46583,-999,
1196850,-24.06628,31.24288,49826,-999,
1197001,-25.682222,31.781667,8864,215,
1197010,-25.83811111,30.41277778,2611,-999,
1197090,-25.43661111,31.98244444,21652,-999,
1197100,-25.838889,30.684167,48,1079,
1197200,-24.449444,31.976667,928,159,
1197300,-26.036111,30.9975,5540,746,
1197310,-25.673611,31.575278,1122,274,
1197500,-25.363611,31.955556,10379,140,
1197501,-25.469722,31.088056,5131,519,
1197502,-25.448611,30.711667,1512,793,
1197505,-25.51419444,31.22452778,5380,-999,
1197507,-25.39888889,31.61055556,8473,-999,
1197510,-25.278333,31.6225,623,259,
1197520,-25.462222,31.083056,308,537,
1197530,-25.4325,30.965556,640,645,
1197540,-25.382222,30.701389,252,819,
1197550,-25.490278,30.698333,1557,833,
1197551,-25.646389,30.2775,398,1499,
1197555,-25.658333,30.260278,93,1521,
1197560,-25.711667,30.835,82,859,
1197561,-25.289167,30.567778,25,1121,
1197562,-25.2875,30.570833,14,1149,
1197563,-25.2975,30.595556,77,1019,
1197564,-25.295556,30.566944,5,1141,
1197570,-25.315833,31.055278,180,821,
1197580,-25.610833,30.874722,128,844,
1197590,-25.73,30.978333,265,659,
1197591,-25.716389,30.7875,59,1081,
1197593,-25.54322222,31.31669444,1639,-999,
1197595,-25.785833,30.924167,182,730,
1197700,-25.030556,31.126389,762,473,
1197701,-25.088889,30.777778,168,987,
1197705,-25.091667,30.778056,54,983,
1197710,-25.076111,31.130278,216,530,
1197720,-25.153611,31.002222,45,893,
1197730,-24.993056,30.814167,52,1218,
1197740,-24.753333,31.388333,1077,370,
1197745,-24.96847222,31.51541667,2407,-999,
1197750,-25.14952778,31.94066667,5715,-999,
1199100,-26.279722,30.594167,906,1517,
1199110,-26.260556,30.549722,15,1621,
1199115,-26.38708,30.84461,1446,-999,
1199200,-27.528056,30.853889,953,969,
1199300,-27.394722,31.6425,4,244,
1199310,-27.36325,31.78261111,6846,-999,
1199400,-26.504444,30.628056,531,1543,
1199410,-26.483333,30.633889,108,1531,
1199415,-26.51336,30.78617,789,-999,
1199450,-26.750278,30.466389,463,1399,
1199453,-26.82786,30.72831,804,-999,
1199455,-26.67717,30.70208,1392,-999,
1199460,-27.114444,30.831389,183,1139,
1199465,-27.06519,30.99356,2313,-999,
1201100,36.45,8.43,1480,192,
1201150,36.12,8.5,9000,327,
1201500,36.58,9.52,20895,67,
1204900,36.95,9.47,235,130,
1216300,8.6667,-11.8667,2407,9,
1216350,9.033333,-11.75,3990,12,
1216400,9.316667,-11.533333,2525,19,
1216430,8.1,-11.316667,361,14,
1216450,8.5667,-11.2667,6870,25,
1216500,8.15,-11.15,57,27,
1219500,7.81667,-11.16667,17150,50,
1234050,14.62,0.3,7500,-999,
1234080,14.75,0.6,44900,227,
1234090,14.6167,0.9833,-999,-999,
1234100,14.02,0.75,2750,-999,
1234120,13.85,1.47,6940,198,
1234130,13.7333,1.6167,38750,287,
1234150,13.52,2.09,700000,174.85,
1234180,12.96,2.32,15350,-999,
1234190,12.74,2.24,4030,-999,
1234200,12.47,2.42,5330,215,
1234201,12.5833,2.6167,-999,-999,
1234250,11.88,3.4,1000000,-999,
1234500,13.88,5.33,2525,275,
1234550,14.5,5.37,824,308,
1234650,13.67,6.77,8800,313,
1234680,13.32,7.17,5400,355,
1234700,13.15,7.22,4800,378,
1237500,13.28,12.6,115000,298,
1253100,-4.03,30.58,8525,-999,
1253200,-7.466667,30.733333,484,-999,
1253210,-7.466667,30.738889,526,-999,
1253300,-8.4274009,31.8253612,428,1638,
1253350,-8.6,31.1944,3835,-999,
1255100,-17.4,14.2,89600,800,
1255150,-17.26580556,13.313,1620,820,
1257100,-17.9,19.75,97300,1060,
1257101,-18.03333333,21.41666667,206000,1100,
1257200,-21.21666667,17.1,4970,1358,
1258100,-19.17388889,13.57108333,11000,520,
1258150,-20.47680556,14.58791667,1570,740,
1258200,-20.4,15.46666667,14200,910,
1258201,-21.06666667,13.8,28900,100,
1258202,-20.2,16.13333333,7720,1140,
1258270,-24.51666667,15.76666667,1480,750,
1258300,-21.43333333,15.66666667,3810,1072,
1258301,-21.3,16.2,1320,1325,
1258350,-21.81666667,15.61666667,4010,1210,
1258355,-21.86666667,15.56666667,554,940,
1258400,-22.26666667,16.41666667,8860,1040,
1258500,-23.5,14.96666667,11700,360,
1258501,-23.26666667,15.8,6520,800,
1258502,-22.96666667,16.38333333,1918,1280,
1258503,-23.16666667,14.65,14700,120,
1258505,-23.21666667,16.16666667,20.1,1220,
1258506,-22.91666667,15.91666667,81.6,1060,
1258507,-22.86666667,16.56666667,17.3,1620,
1258508,-22.8,16.51666667,266,1420,
1258509,-22.71666667,16.6,275,1480,
1258510,-23.46666667,15.76666667,2490,750,
1258520,-22.51666667,17.06666667,49.3,1630,
1258530,-22.61666667,16.63333333,38.4,1666,
1259060,-24.18333333,17.01666667,3450,1285,
1259070,-24.35,17.56666667,1520,-999,
1259080,-25.11666667,17.51666667,5850,1100,
1259090,-27.43333333,17.96666667,2510,900,
1259100,-27.91666667,17.5,63300,243.6,
1259101,-26.8,17.78333333,46400,700,
1259102,-25.9,17.96666667,37600,930,
1259103,-24.167,17.35,9170,1210,
1259104,-24.26666667,17.06666667,2830,1270,
1259110,-26.8,18.21666667,7000,800,
1259111,-26.867,18.1,8030,760,
1259112,-26.76666667,18.46666667,3200,850,
1259150,-30.363333,27.575,19756,1400,
1259151,-30.063333,28.508333,10774,-999,
1259152,-29.59,28.713333,7952,-999,
1259170,-30.016667,28.723333,739,-999,
1259200,-30.4,27.696667,208,1450,
1259201,-24.81666667,17.16666667,4780,1290,
1259220,-29,27.7,5630,1510,
1259230,-29.526667,27.495,144,-999,
1259240,-28.751667,28.265,26,-999,
1259250,-29.398333,27.561667,977,1510,
1259260,-29.116667,28,360,-999,
1259261,-23.8,16.6,1080,1080,
1259300,-29.433333,27.9,83,1945,
1259301,-29.866667,27.561667,1564,-999,
1259310,-29.821667,28.035,220,-999,
1259320,-29.483333,28.656667,3236,-999,
1259321,-28.766667,28.62,279,-999,
1259350,-25.01666667,18.88333333,19600,1070,
1259360,-29.56,28.09,1107,-999,
1259370,-24.31666667,18.43333333,-999,1150,
1259400,-26.43333333,17.11666667,4140,1030,
1259440,-23.06666667,18.63333333,9250,1280,
1259450,-23.11666667,18.68333333,8160,1260,
1259451,-22.13333333,18.81666667,4530,1510,
1259460,-28.13333333,19.25,2470,790,
1259500,-28.725,28.62,57,2620,
1259510,-28.74,28.666667,81,-999,
1259520,-28.833333,28.72,81,-999,
1259600,-29.281667,28.566667,699,-999,
1259620,-29.470556,28.353056,268,-999,
1259800,-29.283333,28.983333,1701,2000,
1259810,-29.238333,28.885,842,-999,
1261100,35.63,9.67,675,250,
1261200,35.38,9.72,8575,232,
1269200,-2.925,33.155556,1187,-999,
1269400,-2.64,33.54,6093,-999,
1269600,-2.061111,33.944444,13233,-999,
1270800,-1.27,31.42,-999,-999,
1270900,-1.477778,31.673333,1161,-999,
1271500,-1.65,34.56,15000,-999,
1286150,-8.85,34.183333,433,1070,
1286200,-8.783333,34.366667,1546,1100,
1286210,-8.85,34.566667,486,-999,
1286220,-8.858333,34.558333,264,-999,
1286400,-7.883333,35.8,2843,1550,
1286401,-7.783333,35.716667,3281,-999,
1286402,-8.05,35.683333,1825,-999,
1286403,-8.333333,35.333333,743,-999,
1286410,-8.016667,35.783333,394,-999,
1286500,-7.03,37.57,101,975,
1286501,-8.333333,36.116667,395,-999,
1286502,-8.336111,36.086111,395,-999,
1286600,-7.566667,36.433333,3363,1210,
1286640,-6.86729,35.138301,9669,1010,
1286650,-7.8,36.966667,44,230,
1286660,-7.92,36.98,67950,680,
1286661,-8.898711,34.11213,788,1157,
1286670,-7.603333,36.911111,55,-999,
1286680,-7.566667,38.783333,611,-999,
1286690,-8.558333,34.85,193,-999,
1286700,-8.2,37,33400,245,
1286730,-8.937778,35.812778,2562,-999,
1286740,-9.395833,34.816667,162,-999,
1286900,-7.8,37.92,158200,64,
1286901,-7.82,37.87,154000,76,
1286930,-8.783333,33.791667,107,-999,
1286940,-8.816667,33.666667,62,-999,
1287600,-3.566667,33.966667,648,-999,
1287700,-5.466667,34.95,1149,-999,
1287800,-5.97,35.3,11400,860,
1287801,-4.633333,35.683333,1048,-999,
