Date,Daily Average LST [C]
2016-05-15,-0.07394410189715717
2016-05-16,-0.1784325231815013
2016-05-17,-0.26749371174558445
2016-05-18,-0.35655490030966763
2016-05-19,-0.4456160888737508
2016-05-20,-0.534677277437834
2016-05-21,-0.6237384660019172
2016-05-22,-0.7127996545660003
2016-05-23,-0.8018608431300834
2016-05-24,-0.8909220316941666
2016-05-25,-1.0010900786717425
2016-05-26,-1.1112581256493184
2016-05-27,-1.221426172626894
2016-05-28,-1.3315942196044699
2016-05-29,-1.4417622665820458
2016-05-30,-1.5519303135596214
2016-05-31,-1.6620983605371973
2016-06-01,-1.7722664075147732
2016-06-02,-1.5940123287538226
2016-06-03,-1.415758249992872
2016-06-04,-1.2375041712319215
2016-06-05,-1.059250092470971
2016-06-06,-0.8809960137100203
2016-06-07,-0.7027419349490698
2016-06-08,-0.5244878561881192
2016-06-09,-0.3462337774271686
2016-06-10,-0.4455147135781776
2016-06-11,-0.5447956497291867
2016-06-12,-0.6440765858801958
2016-06-13,-0.7433575220312048
2016-06-14,-0.842638458182214
2016-06-15,-0.9419193943332229
2016-06-16,-1.0412003304842319
2016-06-17,-1.140481266635241
2016-06-18,-1.2076812246669602
2016-06-19,-1.2748811826986792
2016-06-20,-1.3420811407303983
2016-06-21,-1.4092810987621174
2016-06-22,-1.4764810567938365
2016-06-23,-1.5436810148255555
2016-06-24,-1.6108809728572746
2016-06-25,-1.6780809308889937
2016-06-26,-1.457834878868048
2016-06-27,-1.2375888268471025
2016-06-28,-1.0173427748261568
2016-06-29,-0.797096722805211
2016-06-30,-0.5768506707842653
2016-07-01,-0.35660461876331984
2016-07-02,-0.13635856674237412
2016-07-03,0.0838874852785717
2016-07-04,-0.43823974441561986
2016-07-05,-0.9603669741098114
2016-07-06,-1.482494203804003
2016-07-07,-2.0046214334981944
2016-07-08,-2.526748663192386
2016-07-09,-3.048875892886578
2016-07-10,-3.5710031225807692
2016-07-11,-4.093130352274961
2016-07-12,-4.060127801717604
2016-07-13,-4.027125251160247
2016-07-14,-3.99412270060289
2016-07-15,-3.961120150045533
2016-07-16,-3.9281175994881763
2016-07-17,-3.895115048930819
2016-07-18,-3.8621124983734623
2016-07-19,-3.8291099478161055
2016-07-20,-3.7134091227646167
2016-07-21,-3.597708297713128
2016-07-22,-3.482007472661639
2016-07-23,-3.36630664761015
2016-07-24,-3.2506058225586614
2016-07-25,-3.134904997507172
2016-07-26,-3.0192041724556833
2016-07-27,-2.9035033474041945
2016-07-28,-2.726676822801031
2016-07-29,-2.5498502981978675
2016-07-30,-2.3730237735947037
2016-07-31,-2.1961972489915405
2016-08-01,-2.019370724388377
2016-08-02,-1.8425441997852134
2016-08-03,-1.66571767518205
2016-08-04,-1.4888911505788864
2016-08-05,-2.0995118037713656
2016-08-06,-2.710132456963845
2016-08-07,-3.320753110156325
2016-08-08,-3.931373763348804
2016-08-09,-4.541994416541284
2016-08-10,-5.152615069733763
2016-08-11,-5.763235722926241
2016-08-12,-6.373856376118721
2016-08-13,-5.670085622548326
2016-08-14,-4.96631486897793
2016-08-15,-4.262544115407535
2016-08-16,-3.55877336183714
2016-08-17,-2.8550026082667452
2016-08-18,-2.1512318546963494
2016-08-19,-1.4474611011259544
2016-08-20,-0.743690347555559
2016-08-21,-0.6609732305922775
2016-08-22,-0.5782561136289961
